"Submission ID","Last updated","Submission started","Status","Current step","What is your current academic level?","How would you describe your personality in social situations?","How much free time do you have per week for internship preparation?","How is your energy level during a typical week?","How difficult is updating your CV for you personally?","How difficult is improving your LinkedIn profile for you personally?","How difficult is contacting a professor for you personally?","How difficult is talking to alumni for you personally?","How difficult is contacting HR or employees on LinkedIn for you personally?","How difficult is attending career fairs for you personally?","How difficult is attending workshops for you personally?","How difficult is participating in hackathons for you personally?","How difficult is joining a student club / association for you personally?","How difficult is doing company visits for you personally?","How difficult is searching in job platforms for you personally?","How difficult is sending spontaneous applications for you personally?","How difficult is preparing for internship interviews for you personally?","How difficult is doing skill-building activities (courses, Youtube, certifications) for you personally?","How long do you think updating your CV typically takes you?","How long do you think improving your LinkedIn profile typically takes you?","How long do you think contacting a professor typically takes you?","How long do you think talking to alumni typically takes you?","How long do you think contacting HR or employees on LinkedIn typically takes you?","How long do you think attending career fairs typically takes you?","How long do you think attending workshops typically takes you?","How long do you think participating in hackathons typically takes you?","How long do you think joining a student club / association typically takes you?","How long do you think doing company visits typically takes you?","How long do you think searching in job platforms typically takes you?","How long do you think sending spontaneous applications typically takes you?","How long do you think preparing for internship interviews typically takes you?","How long do you think doing skill-building activities (courses, YouTube, certifications) typically takes you?","How valuable do you think career fairs are for getting an internship?","How valuable do you think searching in job platforms is for getting an internship?","How valuable do you think contacting HR / networking is for getting an internship?","How valuable do you think company visits are for getting an internship?","How valuable do you think hackathons are for getting an internship?","How valuable do you think talking to alumni is for getting an internship?","How valuable do you think skill-building is for getting an internship?","How valuable do you think updating your CV is for getting an internship?","How valuable do you think optimizing LinkedIn is for getting an internship?","How valuable do you think spontaneous applications are for getting an internship?","How valuable do you think attending workshops is for getting an internship?","Please rank these 5 actions by importance (1 = most important).","How comfortable are you with talking to strangers?","How comfortable are you attending big networking events?","How comfortable are you with asking help from professionals or seniors?","Have you ever attended a career fair?","Have you ever applied on job platforms like LinkedIn, Indeed...?","Have you ever talked to alumni before?","What was the biggest challenge you faced while looking for an internship?","How confident are you about getting an internship this year?","Errors","Url","Network ID"
"07f500bd-9493-4abf-ae2c-e5c9f7bad9af","Sun Nov 30 2025 11:17:00 GMT+0100 (Central European Standard Time)","Sun Nov 30 2025 11:17:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","4","4","2","2","3","4","4","4","4","4","4","3","3","3","2","4","1–3 hours","1–3 hours","More than 1 day","More than 1 day","More than 1 day","1 day","More than 1 day","More than 1 day","More than 1 day","1 day","3–5 hours","3–5 hours","1–3 hours","More than 1 day","3","4","4","3","4","5","6","7","6","4","6","Searching on job platforms,Talking to alumni,Contacting HR / employees on LinkedIn,Going to career fairs,Doing company visits","3","4","4","Yes","Yes","Yes","Ghosting","8","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=07f500bd-9493-4abf-ae2c-e5c9f7bad9af","3a616e56359d514118eb9e4f0a81b586"
"cb590e66-db1d-4e28-b51d-92a8a7d18a32","Sat Nov 29 2025 20:01:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 20:01:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","3","3","3","5","1","1","5","4","4","4","5","4","4","4","4","5","Less than 1 hour","1–3 hours","Less than 1 hour","Less than 1 hour","1–3 hours","3–5 hours","1 day","More than 1 day","","","","","","","5","4","6","4","2","5","6","6","6","6","4","","5","3","4","Yes","No","No","","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=cb590e66-db1d-4e28-b51d-92a8a7d18a32","8321ab6a7aeddd317d121f192786bb68"
"bf6d2027-bdfb-4a9a-ac93-ce872c1578dc","Sat Nov 29 2025 18:23:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 18:23:00 GMT+0100 (Central European Standard Time)","finished","Ending","Freshman","Shy","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Less than 1 hour","3–5 hours","3–5 hours","3–5 hours","Less than 1 hour","More than 1 day","1–3 hours","1 day","Less than 1 hour","3–5 hours","1–3 hours","1–3 hours","3–5 hours","1–3 hours","7","5","3","2","3","4","6","7","6","5","3","Going to career fairs,Doing company visits,Talking to alumni,Searching on job platforms,Contacting HR / employees on LinkedIn","1","2","5","Yes","No","No","lazy","1","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=bf6d2027-bdfb-4a9a-ac93-ce872c1578dc","392f84f6bf25c4ee8a7922dbb44fcf15"
"d92f624f-8eda-4ac2-8cef-7f89a610baa1","Sat Nov 29 2025 18:11:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 18:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3–5 hours","1–3 hours","3–5 hours","3–5 hours","More than 1 day","More than 1 day","1 day","More than 1 day","1 day","1 day","3–5 hours","1–3 hours","1 day","More than 1 day","3","4","4","3","3","3","5","5","5","4","4","Contacting HR / employees on LinkedIn,Searching on job platforms,Going to career fairs,Talking to alumni,Doing company visits","3","3","4","Yes","Yes","Yes","Standing out with little experience","6","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=d92f624f-8eda-4ac2-8cef-7f89a610baa1","3c103bfd1b6fddcfd207a635b60f8c87"
"087e56a1-27af-41d3-b47a-16921ad70e4b","Sat Nov 29 2025 16:24:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 16:24:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","4","4","3","4","3","","2","4","3","1","1","3","2","4","3","2","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","3–5 hours","1–3 hours","More than 1 day","More than 1 day","3–5 hours","1–3 hours","1–3 hours","3–5 hours","More than 1 day","2","7","5","4","2","4","7","7","4","3","2","Searching on job platforms,Doing company visits","4","4","4","Yes","Yes","Yes","Response rate is very low","7","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=087e56a1-27af-41d3-b47a-16921ad70e4b","13c46dd8a280889acec6ef1aa3e25447"
"c19fb9ea-096e-4e29-9f53-00206f3c603f","Sat Nov 29 2025 16:11:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 16:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Shy","1","2","5","5","4","5","5","5","5","5","5","5","4","5","5","5","1–3 hours","3–5 hours","","More than 1 day","More than 1 day","","More than 1 day","","More than 1 day","","More than 1 day","","More than 1 day","More than 1 day","5","5","5","5","5","","5","5","5","5","5","Searching on job platforms,Talking to alumni,Contacting HR / employees on LinkedIn,Doing company visits,Going to career fairs","3","2","2","No","No","No","I did know which podutiin fits me ans i don't know which companies ","2","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=c19fb9ea-096e-4e29-9f53-00206f3c603f","0d32e696d33f7b16b8eb03e8951cd129"
"b7d1ea69-b211-4fcd-bc9d-dca3be1a2db1","Sat Nov 29 2025 15:52:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 15:52:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Shy","4","4","3","3","4","3","3","4","3","5","5","4","1","1","4","1","Less than 1 hour","Less than 1 hour","3–5 hours","3–5 hours","Less than 1 hour","3–5 hours","1 day","1 day","More than 1 day","3–5 hours","1–3 hours","Less than 1 hour","1 day","More than 1 day","3","6","4","2","2","4","7","7","7","4","4","Contacting HR / employees on LinkedIn,Searching on job platforms,Going to career fairs,Talking to alumni,Doing company visits","2","2","2","Yes","Yes","No","","8","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=b7d1ea69-b211-4fcd-bc9d-dca3be1a2db1","15eedd4e23ba03bca720027a2f4c0ca4"
"d0a2d880-511d-43c8-a471-0dd987e54be2","Sat Nov 29 2025 15:47:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 15:47:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Shy","5","3","3","3","4","4","4","3","3","4","5","5","1","1","3","2","3–5 hours","3–5 hours","Less than 1 hour","Less than 1 hour","Less than 1 hour","1 day","1 day","More than 1 day","More than 1 day","1 day","1–3 hours","Less than 1 hour","1 day","1–3 hours","3","5","5","4","2","3","7","7","7","3","5","Searching on job platforms,Going to career fairs,Talking to alumni,Contacting HR / employees on LinkedIn,Doing company visits","2","2","3","Yes","Yes","Yes","","7","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=d0a2d880-511d-43c8-a471-0dd987e54be2","15eedd4e23ba03bca720027a2f4c0ca4"
"46894fe1-d534-49c7-8f7b-e6d5c345466b","Sat Nov 29 2025 15:25:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 15:25:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","5","3","3","1","1","","1","3","1","3","1","3","1","1","3","5","1 day","3–5 hours","Less than 1 hour","Less than 1 hour","Less than 1 hour","1 day","1 day","More than 1 day","Less than 1 hour","1 day","Less than 1 hour","Less than 1 hour","3–5 hours","More than 1 day","4","6","6","6","3","5","7","7","7","2","4","Contacting HR / employees on LinkedIn,Talking to alumni,Searching on job platforms,Going to career fairs,Doing company visits","5","5","5","Yes","Yes","Yes","","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=46894fe1-d534-49c7-8f7b-e6d5c345466b","15eedd4e23ba03bca720027a2f4c0ca4"
"9f9e4366-6e4c-4693-b2d6-21db34f1bb72","Sat Nov 29 2025 15:09:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 15:09:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","4","3","3","2","2","1","3","3","3","2","1","2","1","1","4","4","1–3 hours","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","3–5 hours","More than 1 day","More than 1 day","3–5 hours","1 day","1 day","Less than 1 hour","More than 1 day","More than 1 day","3","6","6","3","3","5","7","6","5","3","4","Talking to alumni,Contacting HR / employees on LinkedIn,Searching on job platforms,Going to career fairs,Doing company visits","4","4","4","Yes","Yes","Yes","","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=9f9e4366-6e4c-4693-b2d6-21db34f1bb72","15eedd4e23ba03bca720027a2f4c0ca4"
